"komentar","cleaned_text","casefolded","tokens","normalized","stopword_removed","stemmed","cleaned","label"
"Kualitas barang ok.Pelayanan ok. Respon cepat. Pokonya mantap","Kualitas barang ok Pelayanan ok Respon cepat Pokonya mantap","kualitas barang ok pelayanan ok respon cepat pokonya mantap","['kualitas', 'barang', 'ok', 'pelayanan', 'ok', 'respon', 'cepat', 'pokonya', 'mantap']","['kualitas', 'barang', 'oke', 'pelayanan', 'oke', 'respon', 'cepat', 'pokonya', 'mantap']","['kualitas', 'barang', 'oke', 'pelayanan', 'oke', 'respon', 'cepat', 'pokonya', 'mantap']","['kualitas', 'barang', 'oke', 'layan', 'oke', 'respon', 'cepat', 'poko', 'mantap']","kualitas barang oke layan oke respon cepat poko mantap",""
"keren.. kurir cepat seller fast respon barang datang sesuai pesanan","keren kurir cepat seller fast respon barang datang sesuai pesanan","keren kurir cepat seller fast respon barang datang sesuai pesanan","['keren', 'kurir', 'cepat', 'seller', 'fast', 'respon', 'barang', 'datang', 'sesuai', 'pesanan']","['keren', 'kurir', 'cepat', 'seller', 'fast', 'respon', 'barang', 'datang', 'sesuai', 'pesanan']","['keren', 'kurir', 'cepat', 'seller', 'fast', 'respon', 'barang', 'sesuai', 'pesanan']","['keren', 'kurir', 'cepat', 'seller', 'fast', 'respon', 'barang', 'sesuai', 'pesan']","keren kurir cepat seller fast respon barang sesuai pesan",""
"Terima kasih ka, sudah mau repot utk tukar size sepatunya ❤️ s","Terima kasih ka sudah mau repot utk tukar size sepatunya s","terima kasih ka sudah mau repot utk tukar size sepatunya s","['terima', 'kasih', 'ka', 'sudah', 'mau', 'repot', 'utk', 'tukar', 'size', 'sepatunya', 's']","['terima', 'kasih', 'ka', 'sudah', 'mau', 'repot', 'utk', 'tukar', 'size', 'sepatunya', 's']","['terima', 'kasih', 'ka', 'repot', 'utk', 'tukar', 'size', 'sepatunya']","['terima', 'kasih', 'ka', 'repot', 'utk', 'tukar', 'size', 'sepatu']","terima kasih ka repot utk tukar size sepatu",""
"Legit banget gan","Legit banget gan","legit banget gan","['legit', 'banget', 'gan']","['legit', 'banget', 'gan']","['legit', 'banget', 'gan']","['legit', 'banget', 'gan']","legit banget gan",""
"Bentuk dan ukuran: Bagus","Bentuk dan ukuran Bagus","bentuk dan ukuran bagus","['bentuk', 'dan', 'ukuran', 'bagus']","['bentuk', 'dan', 'ukuran', 'bagus']","['bentuk', 'ukuran', 'bagus']","['bentuk', 'ukur', 'bagus']","bentuk ukur bagus",""
"KW","KW","kw","['kw']","['kw']","['kw']","['kw']","kw",""
"Bagus","Bagus","bagus","['bagus']","['bagus']","['bagus']","['bagus']","bagus",""
"Barang Bagus sesuai dengan yang promosi kan, nyaman & enteng di pakai","Barang Bagus sesuai dengan yang promosi kan nyaman enteng di pakai","barang bagus sesuai dengan yang promosi kan nyaman enteng di pakai","['barang', 'bagus', 'sesuai', 'dengan', 'yang', 'promosi', 'kan', 'nyaman', 'enteng', 'di', 'pakai']","['barang', 'bagus', 'sesuai', 'dengan', 'yang', 'promosi', 'kan', 'nyaman', 'enteng', 'di', 'pakai']","['barang', 'bagus', 'sesuai', 'promosi', 'nyaman', 'enteng', 'pakai']","['barang', 'bagus', 'sesuai', 'promosi', 'nyaman', 'enteng', 'pakai']","barang bagus sesuai promosi nyaman enteng pakai",""
"Bagus Bentuk dan ukuran: Ke besaran dikit... Pas nya 39...","Bagus Bentuk dan ukuran Ke besaran dikit Pas nya 39","bagus bentuk dan ukuran ke besaran dikit pas nya 39","['bagus', 'bentuk', 'dan', 'ukuran', 'ke', 'besaran', 'dikit', 'pas', 'nya', '39']","['bagus', 'bentuk', 'dan', 'ukuran', 'ke', 'besaran', 'dikit', 'pas', 'nya', '39']","['bagus', 'bentuk', 'ukuran', 'besaran', 'dikit', 'pas', '39']","['bagus', 'bentuk', 'ukur', 'besar', 'dikit', 'pas', '39']","bagus bentuk ukur besar dikit pas 39",""
"paket sda sampai sangat cepat kualitas produk sesuai harga mantap 👍","paket sda sampai sangat cepat kualitas produk sesuai harga mantap","paket sda sampai sangat cepat kualitas produk sesuai harga mantap","['paket', 'sda', 'sampai', 'sangat', 'cepat', 'kualitas', 'produk', 'sesuai', 'harga', 'mantap']","['paket', 'sda', 'sampai', 'sangat', 'cepat', 'kualitas', 'produk', 'sesuai', 'harga', 'mantap']","['paket', 'sda', 'cepat', 'kualitas', 'produk', 'sesuai', 'harga', 'mantap']","['paket', 'sda', 'cepat', 'kualitas', 'produk', 'sesuai', 'harga', 'mantap']","paket sda cepat kualitas produk sesuai harga mantap",""
"Bentuk dan ukuran: Barang bagus sesuai keinginan,pelayan toko ramah kurirnya juga ramah, pengiriman cepat dan sepatunya enak dipakai, terima kasih besok kita belanja kesini lagi","Bentuk dan ukuran Barang bagus sesuai keinginan pelayan toko ramah kurirnya juga ramah pengiriman cepat dan sepatunya enak dipakai terima kasih besok kita belanja kesini lagi","bentuk dan ukuran barang bagus sesuai keinginan pelayan toko ramah kurirnya juga ramah pengiriman cepat dan sepatunya enak dipakai terima kasih besok kita belanja kesini lagi","['bentuk', 'dan', 'ukuran', 'barang', 'bagus', 'sesuai', 'keinginan', 'pelayan', 'toko', 'ramah', 'kurirnya', 'juga', 'ramah', 'pengiriman', 'cepat', 'dan', 'sepatunya', 'enak', 'dipakai', 'terima', 'kasih', 'besok', 'kita', 'belanja', 'kesini', 'lagi']","['bentuk', 'dan', 'ukuran', 'barang', 'bagus', 'sesuai', 'keinginan', 'pelayan', 'toko', 'ramah', 'kurirnya', 'juga', 'ramah', 'pengiriman', 'cepat', 'dan', 'sepatunya', 'enak', 'dipakai', 'terima', 'kasih', 'besok', 'kita', 'belanja', 'kesini', 'lagi']","['bentuk', 'ukuran', 'barang', 'bagus', 'sesuai', 'pelayan', 'toko', 'ramah', 'kurirnya', 'ramah', 'pengiriman', 'cepat', 'sepatunya', 'dipakai', 'terima', 'kasih', 'besok', 'belanja', 'kesini']","['bentuk', 'ukur', 'barang', 'bagus', 'sesuai', 'layan', 'toko', 'ramah', 'kurir', 'ramah', 'kirim', 'cepat', 'sepatu', 'pakai', 'terima', 'kasih', 'besok', 'belanja', 'kesini']","bentuk ukur barang bagus sesuai layan toko ramah kurir ramah kirim cepat sepatu pakai terima kasih besok belanja kesini",""
"Barang bagus,rapi, ukuran pas,sesuai pesanan, kurir nya ramah Mantap lh pokok nya","Barang bagus rapi ukuran pas sesuai pesanan kurir nya ramah Mantap lh pokok nya","barang bagus rapi ukuran pas sesuai pesanan kurir nya ramah mantap lh pokok nya","['barang', 'bagus', 'rapi', 'ukuran', 'pas', 'sesuai', 'pesanan', 'kurir', 'nya', 'ramah', 'mantap', 'lh', 'pokok', 'nya']","['barang', 'bagus', 'rapi', 'ukuran', 'pas', 'sesuai', 'pesanan', 'kurir', 'nya', 'ramah', 'mantap', 'lh', 'pokok', 'nya']","['barang', 'bagus', 'rapi', 'ukuran', 'pas', 'sesuai', 'pesanan', 'kurir', 'ramah', 'mantap', 'lh', 'pokok']","['barang', 'bagus', 'rapi', 'ukur', 'pas', 'sesuai', 'pesan', 'kurir', 'ramah', 'mantap', 'lh', 'pokok']","barang bagus rapi ukur pas sesuai pesan kurir ramah mantap lh pokok",""
"Terimakasih sepatnya sudah sampai. Sepatunya pas dan nyaman dipakai.sesusai juga dgn produk nya. ☺☺☺","Terimakasih sepatnya sudah sampai Sepatunya pas dan nyaman dipakai sesusai juga dgn produk nya","terimakasih sepatnya sudah sampai sepatunya pas dan nyaman dipakai sesusai juga dgn produk nya","['terimakasih', 'sepatnya', 'sudah', 'sampai', 'sepatunya', 'pas', 'dan', 'nyaman', 'dipakai', 'sesusai', 'juga', 'dgn', 'produk', 'nya']","['terimakasih', 'sepatnya', 'sudah', 'sampai', 'sepatunya', 'pas', 'dan', 'nyaman', 'dipakai', 'sesusai', 'juga', 'dgn', 'produk', 'nya']","['terimakasih', 'sepatnya', 'sepatunya', 'pas', 'nyaman', 'dipakai', 'sesusai', 'dgn', 'produk']","['terimakasih', 'sepat', 'sepatu', 'pas', 'nyaman', 'pakai', 'sesusai', 'dgn', 'produk']","terimakasih sepat sepatu pas nyaman pakai sesusai dgn produk",""
"Barang udah d Terima.... Kecewa katanya sold empuk ternyata keras","Barang udah d Terima Kecewa katanya sold empuk ternyata keras","barang udah d terima kecewa katanya sold empuk ternyata keras","['barang', 'udah', 'd', 'terima', 'kecewa', 'katanya', 'sold', 'empuk', 'ternyata', 'keras']","['barang', 'udah', 'd', 'terima', 'kecewa', 'katanya', 'sold', 'empuk', 'ternyata', 'keras']","['barang', 'udah', 'terima', 'kecewa', 'sold', 'empuk', 'keras']","['barang', 'udah', 'terima', 'kecewa', 'sold', 'empuk', 'keras']","barang udah terima kecewa sold empuk keras",""
"Bagus realpict .murmer lg.mantaap .amanah 👍👍👍","Bagus realpict murmer lg mantaap amanah","bagus realpict murmer lg mantaap amanah","['bagus', 'realpict', 'murmer', 'lg', 'mantaap', 'amanah']","['bagus', 'realpict', 'murmer', 'lg', 'mantaap', 'amanah']","['bagus', 'realpict', 'murmer', 'lg', 'mantaap', 'amanah']","['bagus', 'realpict', 'murmer', 'lg', 'mantaap', 'amanah']","bagus realpict murmer lg mantaap amanah",""
"Telpak kaki ny keras tidak sesuai dgn yang di di promosi kan","Telpak kaki ny keras tidak sesuai dgn yang di di promosi kan","telpak kaki ny keras tidak sesuai dgn yang di di promosi kan","['telpak', 'kaki', 'ny', 'keras', 'tidak', 'sesuai', 'dgn', 'yang', 'di', 'di', 'promosi', 'kan']","['telpak', 'kaki', 'nya', 'keras', 'tidak', 'sesuai', 'dgn', 'yang', 'di', 'di', 'promosi', 'kan']","['telpak', 'kaki', 'keras', 'sesuai', 'dgn', 'promosi']","['telpak', 'kaki', 'keras', 'sesuai', 'dgn', 'promosi']","telpak kaki keras sesuai dgn promosi",""
"Alhamdulillah pket Sampai tpi agak ke kecilan 🙏🙏","Alhamdulillah pket Sampai tpi agak ke kecilan","alhamdulillah pket sampai tpi agak ke kecilan","['alhamdulillah', 'pket', 'sampai', 'tpi', 'agak', 'ke', 'kecilan']","['alhamdulillah', 'pket', 'sampai', 'tpi', 'agak', 'ke', 'kecilan']","['alhamdulillah', 'pket', 'tpi', 'kecilan']","['alhamdulillah', 'pket', 'tpi', 'kecil']","alhamdulillah pket tpi kecil",""
"Maaf baru ngasih ulasan ,sepatunya bagus lumayan lah buat sehari2","Maaf baru ngasih ulasan sepatunya bagus lumayan lah buat sehari2","maaf baru ngasih ulasan sepatunya bagus lumayan lah buat sehari2","['maaf', 'baru', 'ngasih', 'ulasan', 'sepatunya', 'bagus', 'lumayan', 'lah', 'buat', 'sehari2']","['maaf', 'baru', 'ngasih', 'ulasan', 'sepatunya', 'bagus', 'lumayan', 'lah', 'buat', 'sehari2']","['maaf', 'ngasih', 'ulasan', 'sepatunya', 'bagus', 'lumayan', 'sehari2']","['maaf', 'ngasih', 'ulas', 'sepatu', 'bagus', 'lumayan', 'sehari2']","maaf ngasih ulas sepatu bagus lumayan sehari2",""
"mengecewakan tidak sesuai harapan tidak memuaskan","mengecewakan tidak sesuai harapan tidak memuaskan","mengecewakan tidak sesuai harapan tidak memuaskan","['mengecewakan', 'tidak', 'sesuai', 'harapan', 'tidak', 'memuaskan']","['mengecewakan', 'tidak', 'sesuai', 'harapan', 'tidak', 'memuaskan']","['mengecewakan', 'sesuai', 'harapan', 'memuaskan']","['kecewa', 'sesuai', 'harap', 'muas']","kecewa sesuai harap muas",""
"Gimana cih orang minta nomor 42 knpa yang di krim nomor 39 gak aman bgt","Gimana cih orang minta nomor 42 knpa yang di krim nomor 39 gak aman bgt","gimana cih orang minta nomor 42 knpa yang di krim nomor 39 gak aman bgt","['gimana', 'cih', 'orang', 'minta', 'nomor', '42', 'knpa', 'yang', 'di', 'krim', 'nomor', '39', 'gak', 'aman', 'bgt']","['gimana', 'cih', 'orang', 'minta', 'nomor', '42', 'knpa', 'yang', 'di', 'krim', 'nomor', '39', 'tidak', 'aman', 'banget']","['gimana', 'cih', 'nomor', '42', 'knpa', 'krim', 'nomor', '39', 'aman', 'banget']","['gimana', 'cih', 'nomor', '42', 'knpa', 'krim', 'nomor', '39', 'aman', 'banget']","gimana cih nomor 42 knpa krim nomor 39 aman banget",""
"Bentuk dan ukuran: Pas Daya tahan pakai: Kuat","Bentuk dan ukuran Pas Daya tahan pakai Kuat","bentuk dan ukuran pas daya tahan pakai kuat","['bentuk', 'dan', 'ukuran', 'pas', 'daya', 'tahan', 'pakai', 'kuat']","['bentuk', 'dan', 'ukuran', 'pas', 'daya', 'tahan', 'pakai', 'kuat']","['bentuk', 'ukuran', 'pas', 'daya', 'tahan', 'pakai', 'kuat']","['bentuk', 'ukur', 'pas', 'daya', 'tahan', 'pakai', 'kuat']","bentuk ukur pas daya tahan pakai kuat",""
"Bagus sepatu nyah desain nyah elegan tapi sayang ka lem man nyah ga kuat baru z di pakai udah meler.","Bagus sepatu nyah desain nyah elegan tapi sayang ka lem man nyah ga kuat baru z di pakai udah meler","bagus sepatu nyah desain nyah elegan tapi sayang ka lem man nyah ga kuat baru z di pakai udah meler","['bagus', 'sepatu', 'nyah', 'desain', 'nyah', 'elegan', 'tapi', 'sayang', 'ka', 'lem', 'man', 'nyah', 'ga', 'kuat', 'baru', 'z', 'di', 'pakai', 'udah', 'meler']","['bagus', 'sepatu', 'nya', 'desain', 'nya', 'elegan', 'tapi', 'sayang', 'ka', 'lem', 'man', 'nya', 'tidak', 'kuat', 'baru', 'z', 'di', 'pakai', 'udah', 'meler']","['bagus', 'sepatu', 'desain', 'elegan', 'sayang', 'ka', 'lem', 'man', 'kuat', 'pakai', 'udah', 'meler']","['bagus', 'sepatu', 'desain', 'elegan', 'sayang', 'ka', 'lem', 'man', 'kuat', 'pakai', 'udah', 'meler']","bagus sepatu desain elegan sayang ka lem man kuat pakai udah meler",""
"Pengiriman cepat,barang sesuai,kualitas ya ada harga ada kualitas,arumanya gak enak,moga² awet","Pengiriman cepat barang sesuai kualitas ya ada harga ada kualitas arumanya gak enak moga awet","pengiriman cepat barang sesuai kualitas ya ada harga ada kualitas arumanya gak enak moga awet","['pengiriman', 'cepat', 'barang', 'sesuai', 'kualitas', 'ya', 'ada', 'harga', 'ada', 'kualitas', 'arumanya', 'gak', 'enak', 'moga', 'awet']","['pengiriman', 'cepat', 'barang', 'sesuai', 'kualitas', 'ya', 'ada', 'harga', 'ada', 'kualitas', 'arumanya', 'tidak', 'enak', 'moga', 'awet']","['pengiriman', 'cepat', 'barang', 'sesuai', 'kualitas', 'harga', 'kualitas', 'arumanya', 'moga', 'awet']","['kirim', 'cepat', 'barang', 'sesuai', 'kualitas', 'harga', 'kualitas', 'arumanya', 'moga', 'awet']","kirim cepat barang sesuai kualitas harga kualitas arumanya moga awet",""
